book,score
0,524
1,235
2,342
3,133
4,537
5,438
6,97
7,198
8,104
9,100
10,117
11,366
12,349
13,314
14,155
15,457
16,314
17,418
18,588
19,199
20,504
21,490
22,517
23,439
24,176
25,307
26,218
27,585
28,516
29,388
30,182
31,232
32,72
33,148
34,428
35,500
36,86
37,383
38,278
39,566
40,362
41,136
42,335
43,444
44,346
45,204
46,143
47,412
48,49
49,215
50,187
51,230
52,42
53,56
54,558
55,82
56,371
57,279
58,176
59,472
60,93
61,415
62,304
63,302
64,182
65,503
66,273
67,268
68,73
69,122
70,399
71,467
72,563
73,118
74,541
75,244
76,363
77,306
78,405
79,166
80,69
81,40
82,531
83,119
84,282
85,18
86,350
87,467
88,592
89,145
90,11
91,346
92,122
93,160
94,535
95,468
96,364
97,79
98,545
99,448
100,61
101,491
102,419
103,10
104,80
105,19
106,291
107,66
108,385
109,590
110,18
111,177
112,9
113,496
114,184
115,167
116,486
117,363
118,409
119,568
120,378
121,506
122,184
123,269
124,350
125,193
126,439
127,558
128,84
129,32
130,152
131,365
132,198
133,159
134,547
135,542
136,413
137,131
138,29
139,386
140,257
141,333
142,289
143,43
144,202
145,148
146,317
147,378
148,553
149,297
150,132
151,116
152,591
153,233
154,419
155,115
156,575
157,215
158,242
159,528
160,346
161,223
162,354
163,455
164,528
165,232
166,197
167,75
168,493
169,537
170,102
171,256
172,208
173,500
174,558
175,135
176,467
177,319
178,360
179,132
180,295
181,335
182,482
183,483
184,32
185,7
186,184
187,441
188,41
189,511
190,279
191,551
192,27
193,392
194,90
195,473
196,215
197,107
198,253
199,125
200,382
201,561
202,12
203,575
204,152
205,597
206,238
207,225
208,281
209,254
210,324
211,480
212,493
213,417
214,464
215,26
216,300
217,123
218,35
219,163
220,94
221,419
222,79
223,22
224,451
225,358
226,534
227,384
228,311
229,84
230,277
231,577
232,185
233,536
234,113
235,348
236,175
237,446
238,444
239,6
240,80
241,460
242,500
243,531
244,125
245,307
246,505
247,372
248,445
249,191
250,408
251,148
252,443
253,409
254,344
255,282
256,318
257,270
258,24
259,153
260,245
261,80
262,188
263,458
264,565
265,338
266,514
267,251
268,256
269,577
270,405
271,353
272,364
273,366
274,349
275,513
276,437
277,105
278,57
279,453
280,112
281,231
282,243
283,66
284,181
285,107
286,494
287,5
288,591
289,371
290,510
291,477
292,212
293,265
294,275
295,252
296,156
297,178
298,356
299,488
300,311
301,348
302,204
303,302
304,424
305,64
306,444
307,166
308,416
309,294
310,557
311,505
312,40
313,208
314,127
315,359
316,311
317,103
318,579
319,349
320,171
321,530
322,562
323,11
324,64
325,269
326,480
327,420
328,2
329,485
330,201
331,414
332,201
333,225
334,126
335,234
336,208
337,421
338,3
339,526
340,122
341,272
342,512
343,557
344,178
345,29
346,290
347,416
348,141
349,31
350,374
351,37
352,470
353,278
354,185
355,390
356,517
357,238
358,127
359,109
360,229
361,126
362,262
363,187
364,568
365,446
366,102
367,144
368,490
369,305
370,95
371,476
372,559
373,442
374,399
375,364
376,26
377,579
378,254
379,168
380,331
381,289
382,88
383,74
384,195
385,556
386,415
387,89
388,319
389,426
390,363
391,411
392,183
393,570
394,575
395,393
396,442
397,494
398,584
399,132
400,392
401,105
402,276
403,85
404,123
405,536
406,429
407,410
408,187
409,334
410,401
411,141
412,589
413,448
414,111
415,470
416,423
417,423
418,600
419,89
420,146
421,67
422,88
423,218
424,381
425,300
426,463
427,501
428,10
429,140
430,169
431,242
432,135
433,353
434,190
435,37
436,275
437,38
438,430
439,364
440,298
441,209
442,533
443,521
444,551
445,383
446,511
447,287
448,229
449,588
450,280
451,122
452,595
453,559
454,506
455,535
456,202
457,257
458,452
459,234
460,76
461,174
462,84
463,199
464,290
465,228
466,257
467,24
468,377
469,184
470,399
471,500
472,67
473,433
474,207
475,193
476,542
477,444
478,218
479,489
480,107
481,326
482,443
483,519
484,405
485,208
486,22
487,61
488,243
489,92
490,177
491,326
492,564
493,175
494,29
495,502
496,542
497,47
498,329
499,537
500,299
501,499
502,307
503,417
504,185
505,145
506,59
507,417
508,116
509,154
510,39
511,326
512,451
513,186
514,133
515,6
516,491
517,340
518,240
519,208
520,132
521,586
522,233
523,339
524,422
525,138
526,593
527,27
528,423
529,501
530,433
531,125
532,244
533,257
534,47
535,380
536,353
537,590
538,549
539,548
540,543
541,53
542,15
543,364
544,321
545,339
546,481
547,577
548,139
549,78
550,323
551,477
552,192
553,295
554,26
555,134
556,70
557,389
558,412
559,570
560,192
561,442
562,271
563,496
564,48
565,111
566,366
567,323
568,383
569,275
570,505
571,248
572,514
573,248
574,400
575,150
576,234
577,246
578,141
579,381
580,121
581,225
582,99
583,14
584,412
585,198
586,150
587,179
588,201
589,147
590,48
591,512
592,302
593,484
594,221
595,342
596,139
597,57
598,196
599,537
600,6
601,508
602,179
603,263
604,593
605,289
606,454
607,520
608,362
609,383
610,499
611,141
612,519
613,379
614,133
615,338
616,427
617,283
618,450
